query_id,scientific_name,query_cover_per,evalue,per_identity,accession_id
WP_136022800.1,Streptococcus pyogenes,99.7229916897507,0,100.0,WP_136022800
WP_136022800.1,Streptococcus phage Javan146,99.7229916897507,0,97.22991689750693,QBX23717
WP_136022800.1,Streptococcus pyogenes,99.7229916897507,0,88.9196675900277,WP_136112598
WP_136022800.1,Streptococcus pyogenes,95.84487534626038,0,91.06628242074927,WP_002990034
WP_136022800.1,Streptococcus pyogenes,95.84487534626038,0,90.48991354466858,WP_010922218
WP_136022800.1,Streptococcus pyogenes,99.7229916897507,0,86.42659279778393,WP_014635509
WP_136022800.1,Streptococcus pyogenes,95.84487534626038,0,90.48991354466858,WP_136040266
WP_136022800.1,Streptococcus pyogenes,95.84487534626038,0,90.20172910662824,WP_020833526
WP_136022800.1,Streptococcus dysgalactiae,95.84487534626038,0,93.0835734870317,WP_046177708
WP_136022800.1,Streptococcus pyogenes,99.7229916897507,0,84.48753462603878,WP_136111941
